slug,car_autohome_brand_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
car_autohome_brand_163,163,7695.0,,长安欧尚,,,,,",changanoushang,长安欧尚,changanoushang",,,,,,C,1,,,,changanoushang,Y,,0,B,1,0,,国产
car_autohome_brand_165,165,7696.0,,东风风行,,,,,",dongfengfengxing,东风风行,dongfengfengxing",,,,,,D,1,,,,dongfengfengxing,Y,,0,B,1,0,,国产
wushiling,167,127.0,5.0,五十铃,,http://www.ganji.com/wushiling/,,7973.0,",wushiling,五十铃,wushiling",,,,8341ca03318bbb174c61507eaf976eb1.png,,W,1,,,8341ca03318bbb174c61507eaf976eb1.png?imageView2/1/w/80/h/80/,wushiling,Y,,0,B,1,0,,日系
car_autohome_brand_168,168,3184.0,,摩根,,,,,",mogen,摩根,mogen",,,,,,M,1,,,,mogen,Y,,0,B,1,0,,国产
logo_270,169,1850.0,5012.0,DS,,http://product.cheshi.com/logo_270/,,,",DS,DS,DS",,,,79abb20cf043c91b4628d9f749715433.png,,D,1,,,79abb20cf043c91b4628d9f749715433.png?imageView2/1/w/80/h/80/,DS,Y,,0,B,1,0,,欧系
beiqishenbao,173,2549.0,,北汽绅宝,,,,,",beiqishenbao,北汽绅宝,beiqishenbao",,,,b57d7f388defd481f8c054a992e5eac6.png,,B,1,,,b57d7f388defd481f8c054a992e5eac6.png?imageView2/1/w/80/h/80/,beiqishenbao,Y,,0,B,1,0,,国产
car_autohome_brand_175,175,3185.0,,金旅,,,,,",jinlv,金旅,jinlv",,,,,,J,1,,,,jinlv,Y,,0,B,1,0,,国产
car_autohome_brand_181,181,7697.0,,哈弗,,,,,",hafu,哈弗,hafu",,,,,,H,1,,,,hafu,Y,,0,B,1,0,,国产
xinkai,185,134.0,5.0,新凯,,http://www.ganji.com/xinkai/,,7980.0,",xinkai,新凯,xinkai",,,,2fbaa95a6a27aa6d81ad07703f6e1392.png,,X,1,,,2fbaa95a6a27aa6d81ad07703f6e1392.png?imageView2/1/w/80/h/80/,xinkai,Y,,0,B,1,0,,国产
car_autohome_brand_187,187,7698.0,,东风风度,,,,,",dongfengfengdu,东风风度,dongfengfengdu",,,,,,D,1,,,,dongfengfengdu,Y,,0,B,1,0,,国产
yingzhi,192,2389.0,,潍柴英致,,,,,",weichaiyingzhi,潍柴英致,weichaiyingzhi",,,,263a363257307042019fd9ad015f3d69.png,,W,1,,,263a363257307042019fd9ad015f3d69.png?imageView2/1/w/80/h/80/,weichaiyingzhi,Y,,0,B,1,0,,国产
car_autohome_brand_196,196,3187.0,,成功汽车,,,,,",chenggongqiche,成功汽车,chenggongqiche",,,,,,C,1,,,,chenggongqiche,Y,,0,B,1,0,,国产
qiteng,197,2562.0,,福汽启腾,,,,,",fuqiqiteng,福汽启腾,fuqiqiteng",,,,afad8c1663d2312b07fe320f0efdfe7a.png,,F,1,,,afad8c1663d2312b07fe320f0efdfe7a.png?imageView2/1/w/80/h/80/,fuqiqiteng,Y,,0,B,1,0,,国产
qiawei,199,2561.0,,卡威,,,,,",qiawei,卡威,qiawei",,,,5fd65f1ac815823d0e68dfd18ee50c43.png,,Q,1,,,5fd65f1ac815823d0e68dfd18ee50c43.png?imageView2/1/w/80/h/80/,qiawei,Y,,0,B,1,0,,国产
car_autohome_brand_202,202,3188.0,,泰卡特,,,,,",taiqiate,泰卡特,taiqiate",,,,,,T,1,,,,taiqiate,Y,,0,B,1,0,,国产
huansu,203,2479.0,,北汽幻速,,,,,",beiqihuansu,北汽幻速,beiqihuansu",,,,df311b4274e745ad1b2475244f6f3dd8.png,,B,1,,,df311b4274e745ad1b2475244f6f3dd8.png?imageView2/1/w/80/h/80/,beiqihuansu,Y,,0,B,1,0,,国产
car_autohome_brand_205,205,3190.0,,赛麟,,,,,",sailin,赛麟,sailin",,,,,,S,1,,,,sailin,Y,,0,B,1,0,,国产
zhdu,206,3077.0,,知豆,,,,,",zhidou,知豆,zhidou",,,,30930cbbfdb9d4c1efb20577b0d02eaa.jpg,,Z,1,,,30930cbbfdb9d4c1efb20577b0d02eaa.jpg?imageView2/1/w/80/h/80/,zhidou,Y,,0,B,1,0,,国产
car_autohome_brand_208,208,7699.0,,北汽新能源,,,,,",beiqixinnengyuan,北汽新能源,beiqixinnengyuan",,,,,,B,1,,,,beiqixinnengyuan,Y,,0,B,1,0,,国产
