slug,car_autohome_model_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
dngfngfngshnE70,4421,2887.0,,东风风神E70,,,car_autohome_brand_113,,",dongfengfengshenE70,东风风神E70,dongfengfengshenE70",紧凑型车,,,033d6199191d31826c0bf5311db36206.png,东风乘用车,D,1,,compact_car,033d6199191d31826c0bf5311db36206.png?imageView2/1/w/160/h/80/,dongfengfengshenE70,Y,国产,0,B,1,0,东风风神E70,
pnxiliehuoche,2506,1120.0,6.0,PN货车,,http://www.ganji.com/pnxiliehuoche/,wuling,8966.0,",PNhuoche,PN货车,PNhuoche",微卡,http://www.taoche.com/buycar/cc/0/,,wulingPNhuoche.jpg,上汽通用五菱,P,1,3.4,utruck,wulingPNhuoche.jpg?imageView2/1/w/160/h/80/,PNhuoche,Y,国产,0,B,1,0,PN货车,
car_autohome_model_3946,3946,3388.0,,五菱之光小卡,,,wuling,,",wulingzhiguangxiaoqia,五菱之光小卡,wulingzhiguangxiaoqia",微卡,,,b441fbf857eaff230fe015985e0fbbb8.png,上汽通用五菱,W,1,,,b441fbf857eaff230fe015985e0fbbb8.png?imageView2/1/w/160/h/80/,wulingzhiguangxiaoqia,Y,国产,0,B,1,0,五菱之光小卡,
wlngzhgungV,4270,2987.0,,五菱之光V,,,wuling,,",wulingzhiguangV,五菱之光V,wulingzhiguangV",微面,,,390c398f74b66cfbe1741025aa1d0574.png,上汽通用五菱,W,1,,mb,390c398f74b66cfbe1741025aa1d0574.png?imageView2/1/w/160/h/80/,wulingzhiguangV,Y,国产,0,B,1,0,五菱之光V,
wlnghnggungS3,4408,2903.0,,五菱宏光S3,,,wuling,,",wulinghongguangS3,五菱宏光S3,wulinghongguangS3",中型SUV,,,188d6cf2c047a8174e5fa8cd5f84dea6.png,上汽通用五菱,W,1,,mid_suv,188d6cf2c047a8174e5fa8cd5f84dea6.png?imageView2/1/w/160/h/80/,wulinghongguangS3,Y,国产,0,B,1,0,五菱宏光S3,
car_autohome_model_4884,4884,3389.0,,五菱荣光新卡,,,wuling,,",wulingrongguangxinqia,五菱荣光新卡,wulingrongguangxinqia",微卡,,,544daf0488dae73939e37e74e1c66a7e.png,上汽通用五菱,W,1,,,544daf0488dae73939e37e74e1c66a7e.png?imageView2/1/w/160/h/80/,wulingrongguangxinqia,Y,国产,0,B,1,0,五菱荣光新卡,
car_autohome_model_5174,5174,7719.0,,五菱宏光V,,,wuling,,",wulinghongguangV,五菱宏光V,wulinghongguangV",微面,,,,上汽通用五菱,W,1,,,,wulinghongguangV,Y,国产,0,B,1,0,五菱宏光V,
car_autohome_model_4600,4600,3392.0,,Lorinser GS500,,,car_autohome_brand_118,,",Lorinser GS500,Lorinser GS500,Lorinser GS500",大型SUV,,,92040d516997ebbe11cb02eeb2231cc2.png,罗伦士,L,1,,,92040d516997ebbe11cb02eeb2231cc2.png?imageView2/1/w/160/h/80/,Lorinser GS500,Y,国产,0,B,1,0,Lorinser GS500,
car_autohome_model_4865,4865,3393.0,,Lorinser MS500L,,,car_autohome_brand_118,,",Lorinser MS500L,Lorinser MS500L,Lorinser MS500L",MPV,,,559e249f30c9cc610a453f4497861916.png,罗伦士,L,1,,,559e249f30c9cc610a453f4497861916.png?imageView2/1/w/160/h/80/,Lorinser MS500L,Y,国产,0,B,1,0,Lorinser MS500L,
jinglngtshn,4209,2837.0,,特顺,,,car_autohome_brand_119,,",teshun,特顺,teshun",轻客,,,72591dcc1c97acd26485c75d4704e5fa.png,江铃汽车,T,1,,qk,72591dcc1c97acd26485c75d4704e5fa.png?imageView2/1/w/160/h/80/,teshun,Y,国产,0,B,1,0,特顺,
jinglngyh3,4930,3126.0,,域虎3,,,car_autohome_brand_119,,",yuhu3,域虎3,yuhu3",皮卡,,,2f0b9d4b02b2c788282324b841478263.png,江铃汽车,Y,1,,pickup,2f0b9d4b02b2c788282324b841478263.png?imageView2/1/w/160/h/80/,yuhu3,Y,国产,0,B,1,0,域虎3,
car_autohome_model_4931,4931,7720.0,,域虎5,,,car_autohome_brand_119,,",yuhu5,域虎5,yuhu5",皮卡,,,,江铃汽车,Y,1,,,,yuhu5,Y,国产,0,B,1,0,域虎5,
baojun310,4077,2732.0,,宝骏310,,,baojun,,",baojun310,宝骏310,baojun310",小型车,,,68ba691f0df72ede09786b943394e62d.png,上汽通用五菱,B,1,,small_car,68ba691f0df72ede09786b943394e62d.png?imageView2/1/w/160/h/80/,baojun310,Y,国产,0,B,1,0,宝骏310,
bojn510,4166,2794.0,,宝骏510,,,baojun,,",baojun510,宝骏510,baojun510",小型SUV,,,ef34264243d6d4e8f298ffe84ba8b778.png,上汽通用五菱,B,1,,small_suv,ef34264243d6d4e8f298ffe84ba8b778.png?imageView2/1/w/160/h/80/,baojun510,Y,国产,0,B,1,0,宝骏510,
bojn310W,4392,2868.0,,宝骏310W,,,baojun,,",baojun310W,宝骏310W,baojun310W",紧凑型车,,,5caa813d989c8cac36c81ea9a5957714.png,上汽通用五菱,B,1,,compact_car,5caa813d989c8cac36c81ea9a5957714.png?imageView2/1/w/160/h/80/,baojun310W,Y,国产,0,B,1,0,宝骏310W,
bojn530,4587,3006.0,,宝骏530,,,baojun,,",baojun530,宝骏530,baojun530",紧凑型SUV,,,da9f45c870306924df7b2ffe9dd1dd25.png,上汽通用五菱,B,1,,compact_suv,da9f45c870306924df7b2ffe9dd1dd25.png?imageView2/1/w/160/h/80/,baojun530,Y,国产,0,B,1,0,宝骏530,
